板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,山东金岭矿业股份有限公司,000655,金岭矿业,1996-11-28,B 采矿业
主板,金科地产集团股份有限公司,000656,金科股份,1996-11-28,K 房地产
主板,中钨高新材料股份有限公司,000657,中钨高新,1996-12-05,C 制造业
主板,珠海中富实业股份有限公司,000659,珠海中富,1996-12-03,C 制造业
主板,长春高新技术产业（集团）股份有限公司,000661,长春高新,1996-12-18,C 制造业
主板,天夏智慧城市科技股份有限公司,000662,天夏退,1996-12-16,I 信息技术
主板,福建省永安林业(集团)股份有限公司,000663,*ST永林,1996-12-06,C 制造业
主板,湖北省广播电视信息网络股份有限公司,000665,湖北广电,1996-12-10,R 文化传播
主板,经纬纺织机械股份有限公司,000666,经纬纺机,1996-12-10,J 金融业
主板,美好置业集团股份有限公司,000667,美好置业,1996-12-05,K 房地产
主板,荣丰控股集团股份有限公司,000668,荣丰控股,1996-12-10,K 房地产
主板,金鸿控股集团股份有限公司,000669,*ST金鸿,1996-12-10,D 水电煤气
主板,盈方微电子股份有限公司,000670,*ST盈方,1996-12-17,C 制造业
主板,阳光城集团股份有限公司,000671,阳 光 城,1996-12-18,K 房地产
主板,甘肃上峰水泥股份有限公司,000672,上峰水泥,1996-12-18,C 制造业
主板,当代东方投资股份有限公司,000673,*ST当代,1997-01-24,R 文化传播
主板,智度科技股份有限公司,000676,智度股份,1996-12-24,I 信息技术
主板,恒天海龙股份有限公司,000677,恒天海龙,1996-12-26,C 制造业
主板,襄阳汽车轴承股份有限公司,000678,襄阳轴承,1997-01-06,C 制造业
主板,大连友谊(集团)股份有限公司,000679,*ST友谊,1997-01-24,F 批发零售
主板,山推工程机械股份有限公司,000680,山推股份,1997-01-22,C 制造业
主板,视觉（中国）文化发展股份有限公司,000681,视觉中国,1997-01-21,R 文化传播
主板,东方电子股份有限公司,000682,东方电子,1997-01-21,I 信息技术
主板,内蒙古远兴能源股份有限公司,000683,远兴能源,1997-01-31,C 制造业
主板,中山公用事业集团股份有限公司,000685,中山公用,1997-01-23,D 水电煤气
主板,东北证券股份有限公司,000686,东北证券,1997-02-27,J 金融业
主板,华讯方舟股份有限公司,000687,*ST华讯,1997-02-21,C 制造业
主板,国城矿业股份有限公司,000688,国城矿业,1997-01-20,B 采矿业
主板,广东宝丽华新能源股份有限公司,000690,宝新能源,1997-01-28,D 水电煤气
主板,海南亚太实业发展股份有限公司,000691,亚太实业,1997-02-28,C 制造业
主板,沈阳惠天热电股份有限公司,000692,惠天热电,1997-02-27,D 水电煤气
主板,天津滨海能源发展股份有限公司,000695,滨海能源,1997-02-18,C 制造业
主板,炼石航空科技股份有限公司,000697,炼石航空,1997-03-25,C 制造业
主板,沈阳化工股份有限公司,000698,沈阳化工,1997-02-20,C 制造业
主板,江南模塑科技股份有限公司,000700,模塑科技,1997-02-28,C 制造业
主板,厦门信达股份有限公司,000701,厦门信达,1997-02-26,F 批发零售
主板,湖南正虹科技发展股份有限公司,000702,正虹科技,1997-03-18,C 制造业
主板,恒逸石化股份有限公司,000703,恒逸石化,1997-03-28,C 制造业
主板,浙江震元股份有限公司,000705,浙江震元,1997-04-10,F 批发零售
